gender,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,GDP_per_capita,total_early_clicks
M,HE Qualification,90-100%,55<=,0,240,N,Pass,29325.385023898034,400.0
F,HE Qualification,20-30%,35-55,0,60,N,Pass,29325.385023898034,609.0
F,A Level or Equivalent,30-40%,35-55,0,60,Y,Withdrawn,29325.385023898034,260.0
F,A Level or Equivalent,50-60%,35-55,0,60,N,Pass,29325.385023898034,469.0
F,Lower Than A Level,50-60%,0-35,0,60,N,Pass,30300.0,559.0
M,A Level or Equivalent,80-90%,35-55,0,60,N,Pass,29325.385023898034,723.0
M,HE Qualification,30-40%,0-35,0,60,N,Pass,29325.385023898034,477.0
F,A Level or Equivalent,90-100%,0-35,0,120,N,Pass,29325.385023898034,382.0
F,A Level or Equivalent,70-80%,0-35,0,90,N,Pass,29325.385023898034,361.0
M,Post Graduate Qualification,,55<=,0,60,N,Pass,29325.385023898034,552.0
M,Lower Than A Level,70-80%,35-55,0,60,N,Pass,29325.385023898034,514.0
F,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,29325.385023898034,469.0
M,Lower Than A Level,60-70%,35-55,0,60,N,Pass,29325.385023898034,481.0
F,HE Qualification,50-60%,0-35,0,60,N,Pass,29325.385023898034,622.0
M,Lower Than A Level,40-50%,35-55,0,60,N,Pass,29325.385023898034,691.0
F,A Level or Equivalent,70-80%,0-35,0,60,N,Withdrawn,29325.385023898034,94.0
F,A Level or Equivalent,60-70%,35-55,0,60,N,Pass,30300.0,405.0
M,HE Qualification,,35-55,0,60,N,Pass,27200.0,1043.0
M,A Level or Equivalent,10-20,35-55,0,150,N,Fail,29325.385023898034,39.0
M,A Level or Equivalent,30-40%,35-55,0,60,N,Pass,29325.385023898034,911.0
M,A Level or Equivalent,30-40%,0-35,0,60,N,Pass,29325.385023898034,277.0
M,HE Qualification,0-10%,0-35,0,60,N,Pass,29325.385023898034,331.0
M,Lower Than A Level,70-80%,35-55,0,60,N,Withdrawn,29325.385023898034,285.0
M,Lower Than A Level,70-80%,35-55,0,60,N,Pass,29325.385023898034,1093.0
M,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,29325.385023898034,125.0
M,Lower Than A Level,80-90%,35-55,0,60,N,Pass,29325.385023898034,1407.0
M,A Level or Equivalent,30-40%,0-35,0,60,N,Pass,29325.385023898034,538.0
M,HE Qualification,60-70%,0-35,0,60,N,Pass,29325.385023898034,366.0
M,Post Graduate Qualification,,35-55,0,60,N,Pass,27200.0,1260.0
M,HE Qualification,80-90%,35-55,0,60,N,Withdrawn,29325.385023898034,47.0
M,Lower Than A Level,20-30%,0-35,0,60,N,Pass,29325.385023898034,316.0
M,HE Qualification,80-90%,35-55,0,60,N,Pass,29325.385023898034,200.0
F,HE Qualification,90-100%,35-55,0,60,N,Pass,29325.385023898034,647.0
M,Lower Than A Level,60-70%,35-55,0,60,N,Pass,29325.385023898034,958.0
F,Post Graduate Qualification,,35-55,0,60,N,Pass,29325.385023898034,343.0
M,HE Qualification,60-70%,35-55,0,60,N,Pass,29325.385023898034,333.0
M,HE Qualification,0-10%,0-35,0,60,N,Pass,29325.385023898034,453.0
M,A Level or Equivalent,70-80%,35-55,0,60,N,Pass,29325.385023898034,520.0
M,HE Qualification,30-40%,0-35,0,120,N,Pass,29325.385023898034,57.0
M,A Level or Equivalent,40-50%,35-55,0,60,N,Pass,29325.385023898034,630.0
F,A Level or Equivalent,40-50%,0-35,0,180,N,Pass,29325.385023898034,279.0
M,A Level or Equivalent,50-60%,0-35,0,60,N,Withdrawn,30300.0,359.0
F,Lower Than A Level,80-90%,35-55,0,120,N,Pass,29325.385023898034,146.0
F,A Level or Equivalent,90-100%,35-55,0,60,N,Distinction,29325.385023898034,689.0
F,Lower Than A Level,20-30%,0-35,0,180,N,Withdrawn,29325.385023898034,57.0
F,Lower Than A Level,90-100%,35-55,0,60,Y,Withdrawn,29325.385023898034,204.0
M,A Level or Equivalent,40-50%,35-55,0,60,N,Pass,29325.385023898034,951.0
F,A Level or Equivalent,30-40%,0-35,0,240,N,Pass,29325.385023898034,522.0
M,A Level or Equivalent,90-100%,0-35,0,345,N,Withdrawn,29325.385023898034,7.0
F,A Level or Equivalent,50-60%,35-55,0,60,N,Pass,29325.385023898034,398.0
F,HE Qualification,80-90%,35-55,0,60,N,Pass,29325.385023898034,1071.0
M,HE Qualification,60-70%,0-35,0,120,N,Pass,29325.385023898034,215.0
F,A Level or Equivalent,20-30%,0-35,0,60,Y,Fail,30300.0,129.0
M,Lower Than A Level,60-70%,0-35,0,120,N,Fail,29325.385023898034,377.0
F,Lower Than A Level,80-90%,0-35,0,90,N,Withdrawn,29325.385023898034,19.0
F,A Level or Equivalent,30-40%,35-55,0,60,Y,Withdrawn,29325.385023898034,742.0
F,A Level or Equivalent,80-90%,0-35,0,150,N,Pass,29325.385023898034,37.0
M,A Level or Equivalent,0-10%,35-55,0,420,N,Pass,29325.385023898034,459.0
F,A Level or Equivalent,20-30%,35-55,0,60,N,Pass,29325.385023898034,939.0
F,Lower Than A Level,70-80%,0-35,0,60,N,Withdrawn,29325.385023898034,487.0
F,A Level or Equivalent,90-100%,0-35,0,60,N,Pass,29325.385023898034,363.0
M,A Level or Equivalent,40-50%,35-55,0,60,N,Withdrawn,29325.385023898034,523.0
